id_avaliacao,avaliacao_dificuldade_fg,avaliacao_dificuldade_ce,avaliacao_equipamentos,avaliacao_ambiente
40,Muito difícil,Muito difícil,Não se aplica,Não se aplica
41,Resposta anulada,Resposta anulada,Não sei responder,Não sei responder
42,Muito difícil,Muito difícil,Discordo,Discordo
43,Médio,Resposta anulada,Discordo totalmente,Discordo totalmente
44,Fácil,Difícil,Discordo totalmente,Discordo totalmente
45,Muito difícil,Muito difícil,Concordo totalmente,Concordo totalmente
46,Difícil,Difícil,Concordo totalmente,Concordo totalmente
47,Muito fácil,Fácil,Discordo,Discordo
48,Médio,Médio,Concordo parcialmente,Discordo parcialmente
49,Difícil,Médio,Discordo,Discordo
50,Médio,Médio,Concordo parcialmente,Concordo parcialmente
51,Muito fácil,Muito fácil,Concordo parcialmente,Concordo parcialmente
52,Muito fácil,Fácil,Discordo totalmente,Discordo totalmente
53,Médio,Muito fácil,Discordo totalmente,Discordo totalmente
54,Muito difícil,Muito difícil,Discordo totalmente,Discordo
55,Difícil,Fácil,Discordo totalmente,Discordo totalmente
56,Fácil,Muito fácil,Discordo totalmente,Discordo totalmente
57,Médio,Médio,Concordo,Concordo
58,Médio,Muito difícil,Discordo totalmente,Discordo totalmente
59,Muito difícil,Muito difícil,Concordo totalmente,Discordo totalmente
60,Muito difícil,Muito difícil,Concordo totalmente,Concordo parcialmente
61,Difícil,Difícil,Concordo parcialmente,Concordo parcialmente
62,Difícil,Resposta anulada,Discordo totalmente,Discordo totalmente
63,Muito difícil,Resposta anulada,Discordo parcialmente,Discordo parcialmente
64,Fácil,Médio,Não se aplica,Não se aplica
65,Difícil,Difícil,Discordo totalmente,Discordo parcialmente
66,Difícil,Médio,Concordo totalmente,Concordo totalmente
67,Difícil,Muito fácil,Discordo totalmente,Discordo totalmente
68,Médio,Médio,Discordo,Discordo
69,Resposta anulada,Resposta anulada,Concordo,Concordo parcialmente
70,Médio,Fácil,Discordo parcialmente,Discordo
71,Muito difícil,Médio,Discordo totalmente,Discordo totalmente
72,Difícil,Médio,Discordo parcialmente,Não se aplica
73,Muito fácil,Difícil,Discordo totalmente,Discordo totalmente
74,Médio,Fácil,Discordo totalmente,Discordo totalmente
75,Muito difícil,Difícil,Não se aplica,Discordo totalmente
76,Fácil,Fácil,Concordo totalmente,Não se aplica
77,Médio,Fácil,Discordo,Discordo
78,Médio,Médio,Não se aplica,Não se aplica
79,Médio,Médio,Concordo totalmente,Concordo totalmente
80,Médio,Difícil,Discordo parcialmente,Discordo parcialmente
81,Resposta anulada,Fácil,Discordo totalmente,Discordo totalmente
82,Muito difícil,Muito difícil,Discordo,Discordo parcialmente
83,Difícil,Difícil,Concordo,Concordo
84,Resposta anulada,Resposta anulada,Discordo,Não se aplica
85,Difícil,Difícil,Discordo parcialmente,Discordo parcialmente
86,Muito difícil,Muito difícil,Concordo parcialmente,Concordo
87,Fácil,Muito fácil,Concordo,Discordo parcialmente
88,Difícil,Médio,Concordo parcialmente,Discordo parcialmente
89,Difícil,Médio,Concordo totalmente,Concordo
90,Médio,Médio,Não sei responder,Não sei responder
91,Fácil,Fácil,Não se aplica,Não se aplica
92,Médio,Difícil,Concordo totalmente,Discordo
93,Muito fácil,Muito fácil,Concordo parcialmente,Discordo parcialmente
94,Fácil,Resposta anulada,Discordo totalmente,Discordo totalmente
95,Muito fácil,Muito fácil,Concordo parcialmente,Discordo totalmente
96,Resposta anulada,Resposta anulada,Discordo parcialmente,Discordo totalmente
97,Médio,Muito fácil,Não se aplica,Não se aplica
98,Médio,Médio,Discordo parcialmente,Discordo parcialmente
99,Resposta anulada,Resposta anulada,Discordo parcialmente,Concordo parcialmente
100,Muito difícil,Resposta anulada,Discordo totalmente,Discordo totalmente
101,Médio,Difícil,Não se aplica,Não se aplica
102,Muito difícil,Muito difícil,Concordo,Concordo
103,Muito difícil,Difícil,Concordo,Concordo
104,Médio,Médio,Concordo,Concordo parcialmente
105,Médio,Médio,Concordo totalmente,Discordo totalmente
106,Muito difícil,Muito difícil,Concordo parcialmente,Não sei responder
107,Difícil,Muito difícil,Discordo parcialmente,Discordo parcialmente
108,Difícil,Muito fácil,Concordo totalmente,Concordo totalmente
109,Médio,Médio,Não se aplica,Concordo
110,Resposta anulada,Resposta anulada,Concordo parcialmente,Discordo totalmente
111,Resposta anulada,Resposta anulada,Discordo parcialmente,Concordo totalmente
112,Muito difícil,Médio,Discordo parcialmente,Discordo parcialmente
113,Médio,Médio,Discordo,Discordo totalmente
114,Difícil,Muito difícil,Discordo,Discordo
115,Médio,Médio,Não sei responder,Concordo totalmente
116,Difícil,Difícil,Discordo,Discordo
117,Médio,Difícil,Concordo parcialmente,Concordo
118,Médio,Médio,Concordo,Discordo
119,Muito difícil,Muito fácil,Discordo totalmente,Discordo totalmente
120,Muito fácil,Muito fácil,Concordo,Concordo
121,Médio,Fácil,Discordo,Concordo parcialmente
122,Difícil,Médio,Não se aplica,Não se aplica
123,Difícil,Médio,Discordo parcialmente,Discordo parcialmente
124,Médio,Difícil,Discordo parcialmente,Discordo
125,Difícil,Médio,Concordo parcialmente,Concordo
126,Médio,Difícil,Discordo totalmente,Concordo parcialmente
127,Fácil,Médio,Não sei responder,Não sei responder
128,Muito difícil,Muito difícil,Discordo totalmente,Discordo parcialmente
129,Médio,Médio,Concordo parcialmente,Concordo
130,Difícil,Difícil,Discordo totalmente,Não sei responder
131,Resposta anulada,Muito fácil,Discordo totalmente,Discordo totalmente
132,Difícil,Difícil,Discordo totalmente,Discordo
133,Difícil,Difícil,Discordo parcialmente,Discordo
134,Muito fácil,Médio,Concordo totalmente,Concordo totalmente
135,Muito difícil,Fácil,Discordo totalmente,Discordo totalmente
136,Médio,Fácil,Não se aplica,Não se aplica
137,Difícil,Difícil,Discordo,Discordo totalmente
138,Médio,Difícil,Discordo,Discordo
139,Médio,Difícil,Discordo,Concordo parcialmente
140,Difícil,Difícil,Concordo,Discordo parcialmente
141,Difícil,Médio,Discordo totalmente,Concordo parcialmente
142,Difícil,Difícil,Discordo totalmente,Concordo totalmente
143,Fácil,Difícil,Concordo parcialmente,Discordo parcialmente
144,Fácil,Médio,Discordo,Discordo totalmente
145,Médio,Fácil,Concordo,Concordo
146,Resposta anulada,Médio,Discordo totalmente,Discordo totalmente
147,Fácil,Difícil,Discordo totalmente,Não sei responder
148,Fácil,Médio,Concordo totalmente,Concordo
149,Médio,Difícil,Concordo totalmente,Concordo totalmente
150,Muito fácil,Muito fácil,Concordo totalmente,Concordo totalmente
151,Resposta anulada,Resposta anulada,Discordo,Concordo
152,Muito difícil,Difícil,Discordo,Discordo
153,Médio,Médio,Discordo parcialmente,Discordo totalmente
154,Muito difícil,Médio,Concordo parcialmente,Discordo totalmente
155,Médio,Difícil,Concordo,Concordo
156,Difícil,Difícil,Não se aplica,Não se aplica
157,Muito fácil,Médio,Concordo,Concordo
158,Difícil,Muito fácil,Discordo,Discordo
159,Fácil,Muito difícil,Discordo totalmente,Discordo totalmente
160,Muito difícil,Difícil,Concordo totalmente,Concordo totalmente
161,Muito difícil,Difícil,Não se aplica,Não se aplica
162,Médio,Fácil,Discordo parcialmente,Concordo parcialmente
163,Médio,Médio,Discordo,Concordo totalmente
164,Muito fácil,Fácil,Não se aplica,Não se aplica
165,Resposta anulada,Resposta anulada,Concordo parcialmente,Não se aplica
166,Muito difícil,Muito difícil,Concordo parcialmente,Discordo
167,Médio,Médio,Discordo,Não sei responder
168,Médio,Médio,Discordo totalmente,Concordo parcialmente
169,Fácil,Médio,Discordo parcialmente,Discordo parcialmente
170,Fácil,Médio,Concordo totalmente,Concordo totalmente
171,Difícil,Difícil,Não sei responder,Não sei responder
172,Fácil,Muito difícil,Concordo,Concordo
173,Difícil,Difícil,Concordo parcialmente,Discordo parcialmente
174,Difícil,Médio,Discordo parcialmente,Discordo
175,Fácil,Resposta anulada,Concordo parcialmente,Discordo parcialmente
176,Muito difícil,Difícil,Discordo parcialmente,Discordo parcialmente
177,Difícil,Difícil,Discordo parcialmente,Concordo parcialmente
178,Muito difícil,Fácil,Concordo totalmente,Concordo totalmente
179,Médio,Médio,Discordo,Discordo parcialmente
180,Difícil,Difícil,Discordo,Discordo parcialmente
181,Muito difícil,Difícil,Concordo parcialmente,Concordo parcialmente
182,Fácil,Fácil,Discordo parcialmente,Discordo parcialmente
183,Difícil,Muito difícil,Concordo totalmente,Concordo totalmente
184,Muito difícil,Muito fácil,Discordo parcialmente,Discordo parcialmente
185,Médio,Resposta anulada,Não sei responder,Não se aplica
186,Médio,Difícil,Discordo,Discordo totalmente
187,Muito difícil,Muito difícil,Discordo parcialmente,Discordo parcialmente
188,Muito difícil,Difícil,Discordo totalmente,Discordo
189,Médio,Médio,Concordo parcialmente,Não se aplica
190,Difícil,Difícil,Discordo parcialmente,Discordo totalmente
191,Médio,Médio,Concordo,Discordo parcialmente
192,Difícil,Médio,Discordo parcialmente,Concordo totalmente
193,Difícil,Difícil,Concordo totalmente,Discordo totalmente
194,Médio,Médio,Concordo totalmente,Concordo
195,Fácil,Médio,Discordo,Discordo
196,Fácil,Médio,Concordo totalmente,Concordo parcialmente
197,Muito difícil,Muito difícil,Concordo,Concordo parcialmente
198,Difícil,Médio,Discordo totalmente,Discordo
199,Médio,Médio,Discordo totalmente,Discordo parcialmente
200,Muito difícil,Médio,Concordo parcialmente,Concordo parcialmente
201,Médio,Difícil,Discordo totalmente,Discordo
202,Difícil,Difícil,Discordo parcialmente,Concordo
203,Difícil,Médio,Discordo,Discordo parcialmente
204,Difícil,Muito difícil,Concordo,Discordo parcialmente
205,Médio,Médio,Não sei responder,Não se aplica
206,Resposta anulada,Difícil,Discordo totalmente,Discordo totalmente
207,Médio,Fácil,Discordo totalmente,Não se aplica
208,Difícil,Difícil,Discordo parcialmente,Não se aplica
209,Resposta anulada,Resposta anulada,Concordo,Discordo
210,Médio,Médio,Discordo parcialmente,Discordo
211,Muito difícil,Muito difícil,Não sei responder,Discordo parcialmente
212,Médio,Muito difícil,Discordo parcialmente,Discordo parcialmente
213,Difícil,Difícil,Concordo parcialmente,Discordo
214,Difícil,Difícil,Discordo totalmente,Não se aplica
215,Médio,Muito difícil,Não se aplica,Concordo totalmente
216,Difícil,Difícil,Não se aplica,Concordo totalmente
217,Médio,Difícil,Não sei responder,Não sei responder
218,Médio,Médio,Discordo parcialmente,Não se aplica
219,Fácil,Muito fácil,Concordo parcialmente,Concordo
220,Médio,Médio,Não sei responder,Discordo
221,Médio,Difícil,Discordo totalmente,Discordo parcialmente
222,Difícil,Difícil,Não se aplica,Discordo totalmente
223,Fácil,Difícil,Discordo,Discordo totalmente
224,Médio,Difícil,Concordo,Concordo totalmente
225,Médio,Fácil,Concordo totalmente,Concordo totalmente
226,Fácil,Muito fácil,Discordo,Discordo
227,Difícil,Muito difícil,Não se aplica,Não se aplica
228,Muito fácil,Muito fácil,Discordo totalmente,Discordo parcialmente
229,Fácil,Fácil,Concordo,Concordo
230,Muito fácil,Muito fácil,Concordo totalmente,Discordo totalmente
231,Difícil,Médio,Concordo parcialmente,Concordo parcialmente
232,Difícil,Médio,Concordo,Discordo totalmente
233,Resposta anulada,Resposta anulada,Não se aplica,Não sei responder
234,Difícil,Difícil,Concordo,Concordo parcialmente
235,Médio,Muito difícil,Não se aplica,Não se aplica
236,Difícil,Difícil,Concordo totalmente,Concordo
237,Difícil,Médio,Discordo totalmente,Discordo parcialmente
238,Médio,Médio,Não se aplica,Discordo totalmente
239,Médio,Muito difícil,Discordo parcialmente,Discordo
240,Resposta anulada,Resposta anulada,Não sei responder,Discordo parcialmente
241,Difícil,Difícil,Concordo totalmente,Concordo parcialmente
242,Médio,Difícil,Discordo,Concordo
243,Muito difícil,Muito difícil,Concordo parcialmente,Discordo parcialmente
244,Difícil,Médio,Concordo,Concordo
245,Médio,Médio,Discordo totalmente,Não sei responder
246,Médio,Difícil,Concordo parcialmente,Discordo parcialmente
247,Fácil,Difícil,Não se aplica,Não se aplica
248,Difícil,Médio,Discordo parcialmente,Discordo totalmente
249,Muito difícil,Difícil,Discordo parcialmente,Discordo totalmente
250,Difícil,Difícil,Concordo parcialmente,Concordo totalmente
251,Resposta anulada,Resposta anulada,Não sei responder,Concordo totalmente
252,Fácil,Fácil,Concordo totalmente,Concordo totalmente
253,Difícil,Médio,Concordo totalmente,Discordo totalmente
254,Muito fácil,Muito difícil,Discordo parcialmente,Discordo parcialmente
255,Muito difícil,Difícil,Concordo,Não se aplica
256,Médio,Médio,Concordo totalmente,Concordo parcialmente
257,Difícil,Difícil,Concordo,Concordo totalmente
258,Muito difícil,Médio,Discordo,Discordo
259,Médio,Muito difícil,Concordo parcialmente,Concordo parcialmente
260,Difícil,Muito difícil,Discordo parcialmente,Discordo totalmente
261,Muito difícil,Muito difícil,Não sei responder,Não sei responder
262,Médio,Fácil,Concordo parcialmente,Concordo parcialmente
263,Muito fácil,Muito fácil,Discordo,Discordo
264,Difícil,Difícil,Não se aplica,Concordo parcialmente
265,Muito fácil,Muito fácil,Não se aplica,Não se aplica
266,Resposta anulada,Fácil,Discordo parcialmente,Discordo parcialmente
267,Fácil,Muito difícil,Discordo,Discordo totalmente
268,Fácil,Fácil,Discordo,Discordo
269,Fácil,Fácil,Concordo parcialmente,Concordo parcialmente
270,Difícil,Muito difícil,Concordo parcialmente,Concordo parcialmente
271,Médio,Muito difícil,Discordo,Discordo
272,Difícil,Médio,Concordo,Concordo totalmente
273,Resposta anulada,Resposta anulada,Discordo totalmente,Não sei responder
274,Médio,Muito fácil,Discordo totalmente,Concordo parcialmente
275,Muito fácil,Muito difícil,Concordo totalmente,Concordo totalmente
276,Médio,Difícil,Concordo totalmente,Concordo
277,Resposta anulada,Difícil,Concordo totalmente,Concordo
278,Médio,Difícil,Discordo,Discordo parcialmente
279,Resposta anulada,Resposta anulada,Não se aplica,Concordo totalmente
280,Muito fácil,Médio,Discordo,Discordo
281,Médio,Difícil,Discordo parcialmente,Discordo totalmente
282,Difícil,Muito difícil,Discordo,Discordo totalmente
283,Difícil,Fácil,Concordo totalmente,Concordo totalmente
284,Muito difícil,Médio,Concordo totalmente,Concordo totalmente
285,Médio,Muito difícil,Concordo,Concordo
286,Difícil,Difícil,Concordo,Não se aplica
287,Médio,Médio,Não se aplica,Não sei responder
288,Muito difícil,Muito difícil,Discordo,Concordo
289,Muito fácil,Muito fácil,Concordo totalmente,Concordo parcialmente
290,Difícil,Médio,Não sei responder,Não sei responder
291,Médio,Médio,Concordo parcialmente,Não sei responder
292,Fácil,Médio,Discordo parcialmente,Discordo
293,Muito difícil,Difícil,Concordo parcialmente,Não sei responder
294,Médio,Médio,Discordo,Não se aplica
295,Muito fácil,Muito fácil,Discordo parcialmente,Concordo
296,Difícil,Difícil,Concordo parcialmente,Concordo
297,Médio,Médio,Discordo totalmente,Discordo
298,Muito fácil,Médio,Não se aplica,Não se aplica
299,Muito difícil,Médio,Discordo,Discordo parcialmente
300,Difícil,Difícil,Concordo parcialmente,Discordo totalmente
301,Resposta anulada,Resposta anulada,Discordo,Concordo parcialmente
302,Fácil,Médio,Concordo parcialmente,Concordo parcialmente
303,Médio,Muito difícil,Discordo parcialmente,Discordo totalmente
304,Médio,Médio,Concordo,Não se aplica
305,Muito difícil,Muito difícil,Discordo,Discordo totalmente
306,Difícil,Médio,Concordo totalmente,Discordo parcialmente
307,Médio,Médio,Discordo parcialmente,Concordo parcialmente
308,Difícil,Difícil,Não sei responder,Não se aplica
309,Difícil,Médio,Concordo totalmente,Concordo parcialmente
310,Médio,Difícil,Discordo parcialmente,Concordo parcialmente
311,Difícil,Difícil,Concordo parcialmente,Não se aplica
312,Médio,Difícil,Concordo totalmente,Não se aplica
313,Médio,Difícil,Discordo,Não sei responder
314,Difícil,Muito fácil,Discordo parcialmente,Discordo totalmente
315,Difícil,Fácil,Concordo,Concordo
316,Fácil,Difícil,Concordo totalmente,Concordo totalmente
317,Resposta anulada,Resposta anulada,Discordo totalmente,Não se aplica
318,Médio,Muito difícil,Concordo totalmente,Concordo parcialmente
319,Difícil,Médio,Discordo,Não se aplica
320,Difícil,Fácil,Concordo,Concordo totalmente
321,Médio,Fácil,Não se aplica,Concordo totalmente
322,Fácil,Médio,Não se aplica,Discordo
323,Muito difícil,Muito difícil,Concordo,Concordo totalmente
324,Muito fácil,Médio,Discordo parcialmente,Discordo parcialmente
325,Médio,Médio,Concordo parcialmente,Discordo totalmente
326,Fácil,Fácil,Não sei responder,Não sei responder
327,Muito fácil,Médio,Discordo,Discordo parcialmente
328,Médio,Médio,Concordo totalmente,Discordo parcialmente
329,Médio,Médio,Concordo totalmente,Não sei responder
330,Difícil,Médio,Não se aplica,Concordo totalmente
331,Difícil,Difícil,Concordo totalmente,Não se aplica
332,Muito difícil,Difícil,Não se aplica,Concordo
333,Médio,Fácil,Discordo totalmente,Discordo
334,Difícil,Muito difícil,Discordo parcialmente,Concordo parcialmente
335,Difícil,Difícil,Discordo totalmente,Concordo parcialmente
336,Médio,Fácil,Não sei responder,Concordo parcialmente
337,Difícil,Fácil,Discordo parcialmente,Discordo parcialmente
338,Muito fácil,Muito fácil,Discordo parcialmente,Discordo totalmente
339,Médio,Difícil,Concordo parcialmente,Não se aplica
340,Resposta anulada,Resposta anulada,Concordo totalmente,Concordo
341,Médio,Médio,Discordo totalmente,Concordo
342,Difícil,Difícil,Não sei responder,Concordo
343,Muito difícil,Difícil,Discordo,Discordo parcialmente
344,Fácil,Muito fácil,Concordo parcialmente,Discordo totalmente
345,Difícil,Difícil,Discordo,Concordo
346,Resposta anulada,Muito difícil,Concordo totalmente,Concordo totalmente
347,Fácil,Médio,Não sei responder,Concordo
348,Resposta anulada,Difícil,Concordo totalmente,Concordo totalmente
349,Médio,Médio,Não sei responder,Concordo parcialmente
350,Muito difícil,Muito difícil,Concordo totalmente,Concordo
351,Médio,Médio,Discordo,Concordo parcialmente
352,Médio,Difícil,Concordo,Discordo
353,Difícil,Médio,Discordo parcialmente,Concordo parcialmente
354,Resposta anulada,Resposta anulada,Discordo totalmente,Concordo totalmente
355,Médio,Difícil,Concordo totalmente,Discordo totalmente
356,Médio,Difícil,Concordo,Concordo parcialmente
357,Muito fácil,Fácil,Concordo parcialmente,Concordo parcialmente
358,Difícil,Médio,Discordo,Discordo totalmente
359,Médio,Muito difícil,Concordo totalmente,Concordo totalmente
360,Fácil,Fácil,Concordo,Concordo totalmente
361,Médio,Difícil,Concordo,Discordo totalmente
362,Médio,Difícil,Discordo,Concordo totalmente
363,Difícil,Muito difícil,Concordo parcialmente,Discordo parcialmente
364,Muito difícil,Médio,Discordo parcialmente,Discordo
365,Resposta anulada,Resposta anulada,Não se aplica,Discordo
366,Muito fácil,Médio,Não sei responder,Discordo parcialmente
367,Difícil,Muito fácil,Concordo,Concordo
368,Muito difícil,Difícil,Não sei responder,Não sei responder
369,Médio,Médio,Discordo totalmente,Não se aplica
370,Médio,Médio,Concordo,Discordo totalmente
371,Difícil,Médio,Não se aplica,Discordo totalmente
372,Médio,Difícil,Discordo totalmente,Não se aplica
373,Muito fácil,Muito fácil,Concordo,Discordo
374,Muito fácil,Muito difícil,Discordo,Discordo
375,Resposta anulada,Resposta anulada,Concordo,Discordo parcialmente
376,Difícil,Médio,Concordo,Discordo parcialmente
377,Resposta anulada,Resposta anulada,Discordo totalmente,Concordo
378,Fácil,Muito difícil,Concordo parcialmente,Concordo parcialmente
379,Médio,Médio,Discordo,Concordo
380,Muito difícil,Muito difícil,Discordo totalmente,Concordo
381,Difícil,Médio,Discordo totalmente,Concordo totalmente
382,Fácil,Difícil,Discordo,Discordo
383,Resposta anulada,Resposta anulada,Concordo totalmente,Concordo parcialmente
384,Muito fácil,Difícil,Discordo,Discordo
385,Médio,Fácil,Discordo totalmente,Discordo parcialmente
386,Muito fácil,Muito fácil,Discordo,Discordo totalmente
387,Médio,Médio,Concordo parcialmente,Discordo
388,Muito difícil,Difícil,Discordo parcialmente,Discordo
389,Resposta anulada,Resposta anulada,Concordo totalmente,Não se aplica
390,Muito difícil,Muito difícil,Discordo totalmente,Concordo parcialmente
391,Muito fácil,Difícil,Não se aplica,Não se aplica
392,Médio,Médio,Não se aplica,Discordo
393,Médio,Difícil,Concordo parcialmente,Discordo totalmente
394,Muito fácil,Muito fácil,Concordo parcialmente,Discordo
395,Difícil,Difícil,Concordo totalmente,Não sei responder
396,Difícil,Difícil,Não se aplica,Discordo parcialmente
397,Muito difícil,Difícil,Discordo,Discordo totalmente
398,Difícil,Difícil,Não sei responder,Discordo totalmente
399,Médio,Difícil,Não sei responder,Discordo
400,Médio,Médio,Concordo parcialmente,Concordo totalmente
401,Médio,Médio,Discordo parcialmente,Concordo totalmente
402,Difícil,Médio,Concordo,Concordo parcialmente
403,Médio,Difícil,Discordo parcialmente,Concordo totalmente
404,Médio,Difícil,Concordo parcialmente,Concordo totalmente
405,Muito difícil,Muito fácil,Não sei responder,Não sei responder
406,Médio,Médio,Não sei responder,Discordo parcialmente
407,Fácil,Médio,Concordo,Concordo totalmente
408,Difícil,Muito difícil,Não se aplica,Concordo
409,Difícil,Muito difícil,Discordo totalmente,Discordo
410,Muito difícil,Muito difícil,Concordo,Discordo totalmente
411,Fácil,Difícil,Discordo totalmente,Não se aplica
412,Médio,Médio,Concordo,Concordo totalmente
413,Difícil,Médio,Concordo parcialmente,Discordo
414,Médio,Difícil,Concordo parcialmente,Concordo parcialmente
415,Muito difícil,Muito difícil,Discordo parcialmente,Concordo parcialmente
416,Difícil,Difícil,Discordo totalmente,Concordo
417,Médio,Difícil,Concordo totalmente,Discordo parcialmente
418,Fácil,Médio,Discordo totalmente,Discordo parcialmente
419,Médio,Médio,Discordo parcialmente,Não sei responder
420,Muito fácil,Difícil,Concordo totalmente,Concordo totalmente
421,Fácil,Médio,Concordo parcialmente,Concordo
422,Fácil,Médio,Discordo totalmente,Concordo
423,Muito difícil,Muito difícil,Discordo parcialmente,Concordo totalmente
424,Muito difícil,Muito difícil,Concordo parcialmente,Concordo parcialmente
425,Médio,Médio,Discordo parcialmente,Concordo
426,Médio,Difícil,Não sei responder,Não se aplica
427,Muito difícil,Difícil,Discordo totalmente,Não sei responder
428,Muito difícil,Difícil,Discordo totalmente,Discordo parcialmente
429,Difícil,Muito difícil,Concordo totalmente,Discordo totalmente
430,Resposta anulada,Difícil,Não se aplica,Não se aplica
431,Muito fácil,Médio,Discordo parcialmente,Não se aplica
432,Médio,Difícil,Discordo parcialmente,Não sei responder
433,Médio,Fácil,Discordo,Discordo parcialmente
434,Fácil,Difícil,Concordo parcialmente,Concordo parcialmente
435,Difícil,Médio,Concordo parcialmente,Não se aplica
436,Fácil,Resposta anulada,Não se aplica,Não se aplica
437,Difícil,Muito difícil,Concordo totalmente,Concordo parcialmente
438,Médio,Resposta anulada,Não se aplica,Não se aplica
439,Fácil,Muito difícil,Discordo,Discordo
440,Médio,Fácil,Não sei responder,Não sei responder
441,Difícil,Fácil,Não se aplica,Não se aplica
442,Médio,Médio,Não se aplica,Concordo parcialmente
443,Muito difícil,Difícil,Concordo parcialmente,Concordo totalmente
444,Muito difícil,Muito difícil,Discordo,Não sei responder
445,Difícil,Médio,Concordo totalmente,Não se aplica
446,Médio,Médio,Concordo totalmente,Não se aplica
447,Difícil,Médio,Não sei responder,Discordo
448,Difícil,Muito difícil,Não sei responder,Não sei responder
449,Difícil,Difícil,Discordo,Não se aplica
450,Resposta anulada,Difícil,Concordo parcialmente,Concordo parcialmente
451,Fácil,Fácil,Discordo parcialmente,Concordo totalmente
452,Muito fácil,Muito fácil,Concordo,Discordo totalmente
453,Fácil,Fácil,Discordo,Discordo totalmente
454,Difícil,Difícil,Discordo parcialmente,Concordo totalmente
455,Médio,Muito fácil,Concordo,Concordo parcialmente
456,Muito fácil,Resposta anulada,Discordo,Discordo
457,Difícil,Muito difícil,Concordo,Concordo
458,Muito fácil,Fácil,Concordo,Concordo totalmente
459,Médio,Muito difícil,Não sei responder,Não sei responder
460,Muito fácil,Médio,Concordo totalmente,Discordo parcialmente
461,Difícil,Difícil,Discordo,Não sei responder
462,Fácil,Muito difícil,Concordo totalmente,Concordo
463,Muito difícil,Muito difícil,Não sei responder,Concordo parcialmente
464,Médio,Resposta anulada,Concordo parcialmente,Não sei responder
465,Muito fácil,Muito fácil,Concordo totalmente,Concordo
466,Muito difícil,Muito difícil,Discordo parcialmente,Não se aplica
467,Médio,Muito difícil,Discordo totalmente,Discordo parcialmente
468,Difícil,Médio,Concordo,Não se aplica
469,Fácil,Difícil,Discordo parcialmente,Concordo parcialmente
470,Médio,Muito difícil,Concordo parcialmente,Discordo parcialmente
471,Muito fácil,Muito fácil,Discordo parcialmente,Concordo parcialmente
472,Médio,Médio,Não sei responder,Concordo
473,Muito difícil,Muito fácil,Não se aplica,Não se aplica
474,Muito difícil,Médio,Discordo,Concordo
475,Muito difícil,Difícil,Discordo parcialmente,Concordo parcialmente
476,Muito difícil,Difícil,Concordo parcialmente,Discordo parcialmente
477,Muito difícil,Difícil,Discordo totalmente,Concordo parcialmente
478,Difícil,Médio,Concordo parcialmente,Concordo totalmente
