id_municipio,nome_municipio,uf
4321808,TRES DE MAIO,RS
4316808,SANTA CRUZ DO SUL,RS
4301602,BAGE,RS
4318309,SAO GABRIEL,RS
4317103,SANTANA DO LIVRAMENTO,RS
4101507,ARAPONGAS,PR
3113404,CARATINGA,MG
3105608,BARBACENA,MG
3172004,VISCONDE DO RIO BRANCO,MG
3138401,LEOPOLDINA,MG
3131307,IPATINGA,MG
3169901,UBA,MG
3133808,ITAUNA,MG
3136702,JUIZ DE FORA,MG
3303500,NOVA IGUACU,RJ
3527108,LINS,SP
3106200,BELO HORIZONTE,MG
3118601,CONTAGEM,MG
3106705,BETIM,MG
3526902,LIMEIRA,SP
2507507,JOAO PESSOA,PB
3148004,PATOS DE MINAS,MG
3548807,SAO CAETANO DO SUL,SP
3143302,MONTES CLAROS,MG
3525904,JUNDIAI,SP
1500800,ANANINDEUA,PA
1501402,BELEM,PA
5208707,GOIANIA,GO
5002704,CAMPO GRANDE,MS
3502804,ARACATUBA,SP
2800308,ARACAJU,SE
2609600,OLINDA,PE
4303004,CACHOEIRA DO SUL,RS
4300406,ALEGRETE,RS
3529005,MARILIA,SP
4104303,CAMPO MOURAO,PR
4317509,SANTO ANGELO,RS
4308508,FREDERICO WESTPHALEN,RS
4307005,ERECHIM,RS
4318903,SAO LUIZ GONZAGA,RS
4305207,CERRO LARGO,RS
4317400,SANTIAGO,RS
4317202,SANTA ROSA,RS
4122404,ROLANDIA,PR
4128104,UMUARAMA,PR
4127700,TOLEDO,PR
4108809,GUAIRA,PR
3523909,ITU,SP
4203006,CACADOR,SC
4210100,MAFRA,SC
4203808,CANOINHAS,SC
4204806,CURITIBANOS,SC
4204301,CONCORDIA,SC
4205506,FRAIBURGO,SC
3523206,ITARARE,SP
4306106,CRUZ ALTA,RS
4304606,CANOAS,RS
4318408,SAO JERONIMO,RS
4309209,GRAVATAI,RS
4321501,TORRES,RS
1100122,JI-PARANA,RO
1506807,SANTAREM,PA
1721000,PALMAS,TO
4303509,CAMAQUA,RS
3300456,BELFORD ROXO,RJ
3301702,DUQUE DE CAXIAS,RJ
3305802,TERESOPOLIS,RJ
3518800,GUARULHOS,SP
4204608,CRICIUMA,SC
4209300,LAGES,SC
2700300,ARAPIRACA,AL
3306305,VOLTA REDONDA,RJ
3306107,VALENCA,RJ
4218707,TUBARAO,SC
4201406,ARARANGUA,SC
4211900,PALHOCA,SC
3511102,CATANDUVA,SP
3134202,ITUIUTABA,MG
3132404,ITAJUBA,MG
3128709,GUAXUPE,MG
3300407,BARRA MANSA,RJ
3303302,NITEROI,RJ
3530607,MOGI DAS CRUZES,SP
4310207,IJUI,RS
3522307,ITAPETININGA,SP
4114203,MANDAGUARI,PR
3147907,PASSOS,MG
4109401,GUARAPUAVA,PR
4110706,IRATI,PR
3131703,ITABIRA,MG
2111300,SAO LUIS,MA
2105302,IMPERATRIZ,MA
1200401,RIO BRANCO,AC
2504009,CAMPINA GRANDE,PB
2506301,GUARABIRA,PB
1504208,MARABA,PA
2408102,NATAL,RN
2402006,CAICO,RN
2403103,CURRAIS NOVOS,RN
3302403,MACAE,RJ
3305554,SEROPEDICA,RJ
2704302,MACEIO,AL
2516201,SOUSA,PB
2501500,BANANEIRAS,PB
4316907,SANTA MARIA,RS
4118501,PATO BRANCO,PR
3201209,CACHOEIRO DE ITAPEMIRIM,ES
4104808,CASCAVEL,PR
4114609,MARECHAL CANDIDO RONDON,PR
4108304,FOZ DO IGUACU,PR
3151800,POCOS DE CALDAS,MG
3510401,CAPIVARI,SP
4313508,OSORIO,RS
4307906,FARROUPILHA,RS
3164704,SAO SEBASTIAO DO PARAISO,MG
4108403,FRANCISCO BELTRAO,PR
3144805,NOVA LIMA,MG
4208906,JARAGUA DO SUL,SC
4128203,UNIAO DA VITORIA,PR
3304904,SAO GONCALO,RJ
3205200,VILA VELHA,ES
3554102,TAUBATE,SP
2910800,FEIRA DE SANTANA,BA
3507605,BRAGANCA PAULISTA,SP
3523404,ITATIBA,SP
5003702,DOURADOS,MS
3149309,PEDRO LEOPOLDO,MG
3201506,COLATINA,ES
2608909,LIMOEIRO,PE
2933307,VITORIA DA CONQUISTA,BA
4321204,TAQUARA,RS
2611101,PETROLINA,PE
5003207,CORUMBA,MS
5008305,TRES LAGOAS,MS
5211503,ITUMBIARA,GO
1100205,PORTO VELHO,RO
1100049,CACOAL,RO
1100304,VILHENA,RO
2606002,GARANHUNS,PE
3548906,SAO CARLOS,SP
4117602,PALMAS,PR
4106407,CORNELIO PROCOPIO,PR
3507506,BOTUCATU,SP
5102504,CACERES,MT
4118204,PARANAGUA,PR
4119905,PONTA GROSSA,PR
3203205,LINHARES,ES
3527207,LORENA,SP
5201306,ANICUNS,GO
2304202,CRATO,CE
4111506,IVAIPORA,PR
1709500,GURUPI,TO
5205109,CATALAO,GO
5211909,JATAI,GO
2203909,FLORIANO,PI
2918001,JEQUIE,BA
1400100,BOA VISTA,RR
5108402,VARZEA GRANDE,MT
5103502,DIAMANTINO,MT
5104807,JACIARA,MT
3200607,ARACRUZ,ES
5002902,CASSILANDIA,MS
5107958,TANGARA DA SERRA,MT
5213103,MINEIROS,GO
3138203,LAVRAS,MG
5212501,LUZIANIA,GO
5101803,BARRA DO GARCAS,MT
3163706,SAO LOURENCO,MG
1705508,COLINAS DO TOCANTINS,TO
1600303,MACAPA,AP
3120904,CURVELO,MG
3506508,BIRIGUI,SP
3501608,AMERICANA,SP
3119401,CORONEL FABRICIANO,MG
3506102,BEBEDOURO,SP
3526704,LEME,SP
3519071,HORTOLANDIA,SP
3530805,MOGI-MIRIM,SP
5006309,PARANAIBA,MS
3514403,DRACENA,SP
3550605,SAO ROQUE,SP
5006606,PONTA PORA,MS
3556206,VALINHOS,SP
4215802,SAO BENTO DO SUL,SC
2904902,CACHOEIRA,BA
5212204,JUSSARA,GO
5218904,RUBIATABA,GO
3134400,ITURAMA,MG
3170404,UNAI,MG
2615300,TIMBAUBA,PE
4210506,MARAVILHA,SC
4309407,GUAPORE,RS
3202405,GUARAPARI,ES
3520509,INDAIATUBA,SP
4112108,JANDAIA DO SUL,PR
3503307,ARARAS,SP
3524402,JACAREI,SP
3301900,ITABORAI,RJ
2606804,IGARASSU,PE
2503209,CABEDELO,PB
3156700,SABARA,MG
3300100,ANGRA DO REIS,RJ
3510500,CARAGUATATUBA,SP
2409407,PAU DO FERROS,RN
2409308,PATU,RN
2400208,ACU,RN
3515509,FERNANDOPOLIS,SP
4313706,PALMEIRA DAS MISSOES,RS
2208007,PICOS,PI
3147105,PARA DE MINAS,MG
3146008,OURO FINO,MG
3535507,PARAGUACU PAULISTA,SP
3306206,VASSOURAS,RJ
4120606,PRUDENTOPOLIS,PR
2918407,JUAZEIRO,BA
2905701,CAMACARI,BA
3547304,SANTANA DE PARNAIBA,SP
3303203,NILOPOLIS,RJ
3524808,JALES,SP
3515186,ESPIRITO SANTO DO PINHAL,SP
3501905,AMPARO,SP
5201405,APARECIDA DE GOIANIA,GO
3131901,ITABIRITO,MG
4216602,SAO JOSE,SC
3509601,CAMPO LIMPO PAULISTA,SP
3518701,GUARUJA,SP
3522703,ITAPOLIS,SP
3522406,ITAPEVA,SP
3500105,ADAMANTINA,SP
3537404,PEREIRA BARRETO,SP
4202909,BRUSQUE,SC
3516705,GARCA,SP
5107909,SINOP,MT
3552502,SUZANO,SP
3504503,AVARE,SP
3545209,SALTO,SP
4320701,SOBRADINHO,RS
3525300,JAU,SP
3530508,MOCOCA,SP
3203908,NOVA VENECIA,ES
3107406,BOM DESPACHO,MG
5104104,GUARANTA DO NORTE,MT
5101258,ARAPUTANGA,MT
2607208,IPOJUCA,PE
5204508,CALDAS NOVAS,GO
4125506,SAO JOSE DO PINHAIS,PR
2928703,SANTO ANTONIO DE JESUS,BA
5217104,PIRACANJUBA,GO
3505906,BATATAIS,SP
3544251,ROSANA,SP
3553708,TAQUARITINGA,SP
3506359,BERTIOGA,SP
3522604,ITAPIRA,SP
5221403,TRINDADE,GO
3104205,ARCOS,MG
3524303,JABOTICABAL,SP
3551702,SERTAOZINHO,SP
3513009,COTIA,SP
3505708,BARUERI,SP
4207502,INDAIAL,SC
3147006,PARACATU,MG
5001102,AQUIDAUANA,MS
3546405,SANTA CRUZ DO RIO PARDO,SP
3552809,TABOAO DA SERRA,SP
4125704,SAO MIGUEL DO IGUACU,PR
3513702,DESCALVADO,SP
3524709,JAGUARIUNA,SP
3204906,SAO MATEUS,ES
3500600,AGUAS DE SAO PEDRO,SP
3509700,CAMPOS DO JORDAO,SP
5213806,MORRINHOS,GO
5219308,SANTA HELENA DE GOIAS,GO
3148103,PATROCINIO,MG
3201308,CARIACICA,ES
4119152,PINHAIS,PR
3515152,ENGENHEIRO COELHO,SP
3541307,PRESIDENTE EPITACIO,SP
1100023,ARIQUEMES,RO
1100106,GUAJARA-MIRIM,RO
3504008,ASSIS,SP
5208905,GOIAS,GO
3526803,LENCOIS PAULISTA,SP
3529302,MATAO,SP
4124103,SANTO ANTONIO DA PLATINA,PR
4111803,JACAREZINHO,PR
2910727,EUNAPOLIS,BA
3542602,REGISTRO,SP
3534609,OSVALDO CRUZ,SP
3507001,BOITUVA,SP
4214003,PRESIDENTE GETULIO,SC
3205002,SERRA,ES
3136207,JOAO MONLEVADE,MG
4113205,LAPA,PR
2919207,LAURO DE FREITAS,BA
3126109,FORMIGA,MG
4309308,GUAIBA,RS
4213609,PORTO UNIAO,SC
5221601,URUACU,GO
5211800,JARAGUA,GO
2915601,ITAMARAJU,BA
4304408,CANELA,RS
4313300,NOVA PRATA,RS
3520442,ILHA SOLTEIRA,SP
4319505,SAO SEBASTIAO DO CAI,RS
5209101,GOIATUBA,GO
3533908,OLIMPIA,SP
5106224,NOVA MUTUM,MT
3119302,COROMANDEL,MG
4300604,ALVORADA,RS
4101606,ARAPOTI,PR
4111605,IVATUBA,PR
3533502,NOVO HORIZONTE,SP
3533403,NOVA ODESSA,SP
3505302,BARRA BONITA,SP
3550100,SAO MANUEL,SP
4102109,ASTORGA,PR
2923803,PARIPIRANGA,BA
4107207,DOIS VIZINHOS,PR
3109006,BRUMADINHO,MG
2607901,JABOATAO DO GUARARAPES,PE
4104006,CAMPINA GRANDE DO SUL,PR
3551009,SAO VICENTE,SP
3540705,PORTO FERREIRA,SP
3522109,ITANHAEM,SP
1100114,JARU,RO
3154150,REDUTO,MG
3201407,CASTELO,ES
2301109,ARACATI,CE
3546603,SANTA FE DO SUL,SP
4127106,TELEMACO BORBA,PR
4211702,ORLEANS,SC
2931350,TEIXEIRA DE FREITAS,BA
5107040,PRIMAVERA DO LESTE,MT
3536703,PEDERNEIRAS,SP
2307304,JUAZEIRO DO NORTE,CE
2604007,CARPINA,PE
4208401,ITAPIRANGA,SC
4206504,GUARAMIRIM,SC
4219705,XAXIM,SC
4103701,CAMBE,PR
4121406,REALEZA,PR
3529401,MAUA,SP
3500709,AGUDOS,SP
4128005,UBIRATA,PR
2616407,VITORIA DE SANTO ANTAO,PE
4101408,APUCARANA,PR
4104204,CAMPO LARGO,PR
3138807,LUZ,MG
3300704,CABO FRIO,RJ
4311809,MARAU,RS
2202901,CORRENTE,PI
3160702,SANTOS DUMONT,MG
3549706,SAO JOSE DO RIO PARDO,SP
3116605,CLAUDIO,MG
3519600,IBITINGA,SP
3530706,MOGI-GUACU,SP
4101804,ARAUCARIA,PR
2605202,ESCADA,PE
4313904,PANAMBI,RS
3542206,RANCHARIA,SP
3541000,PRAIA GRANDE,SP
4105805,COLOMBO,PR
3143906,MURIAE,MG
4203956,CAPIVARI DE BAIXO,SC
4321907,TRES PASSOS,RS
5105259,LUCAS DO RIO VERDE,MT
3145208,NOVA SERRANA,MG
3143104,MONTE CARMELO,MG
5107925,SORRISO,MT
4216909,SAO LOURENCO DO OESTE,SC
4211306,NAVEGANTES,SC
2510808,PATOS,PB
4215000,RIO NEGRINHO,SC
3539301,PIRASSUNUNGA,SP
2802106,ESTANCIA,SE
3139409,MANHUACU,MG
3513801,DIADEMA,SP
5208004,FORMOSA,GO
4206900,IBIRAMA,SC
2311306,QUIXADA,CE
2706703,PENEDO,AL
2932903,VALENCA,BA
2906501,CANDEIAS,BA
3125101,EXTREMA,MG
4119608,PITANGA,PR
4109609,GUARATUBA,PR
5221858,VALPARAISO DE GOIAS,GO
5217401,PIRES DO RIO,GO
2914604,IRECE,BA
3205069,VENDA NOVA DO IMIGRANTE,ES
3115300,CATAGUASES,MG
2307700,MARANGUAPE,CE
4320008,SAPUCAIA DO SUL,RS
2919553,LUIS EDUARDO MAGALHAES,BA
4102406,BANDEIRANTES,PR
2914802,ITABUNA,BA
5220108,SAO LUIS DE MONTES BELOS,GO
3167103,SERRO,MG
3530300,MIRASSOL,SP
5106257,NOVA XAVANTINA,MT
3304144,QUEIMADOS,RJ
3510609,CARAPICUIBA,SP
2305407,ICO,CE
4304630,CAPAO DA CANOA,RS
3121605,DIAMANTINA,MG
2103000,CAXIAS,MA
4202800,BRACO DO NORTE,SC
2101202,BACABAL,MA
2924009,PAULO AFONSO,BA
3103504,ARAGUARI,MG
3145604,OLIVEIRA,MG
3130309,IGUATAMA,MG
4112009,JAGUARIAIVA,PR
3305109,SAO JOAO DE MERITI,RJ
2403251,PARNAMIRIM,RN
4322608,VENANCIO AIRES,RS
3162104,SAO GOTARDO,MG
3101508,ALEM PARAIBA,MG
3169406,TRES PONTAS,MG
3203007,IUNA,ES
2911709,GUANAMBI,BA
2400505,ALEXANDRIA,RN
3304524,RIO DAS OSTRAS,RJ
1503606,ITAITUBA,PA
3136306,JOAO PINHEIRO,MG
1100288,ROLIM DE MOURA,RO
4313201,NOVA PETROPOLIS,RS
4117909,PALOTINA,PR
3550704,SAO SEBASTIAO,SP
2108207,PEDREIRAS,MA
4105706,CLEVELANDIA,PR
4217808,TAIO,SC
3524105,ITUVERAVA,SP
5005707,NAVIRAI,MS
2906873,CAPIM GROSSO,BA
2930501,SERRINHA,BA
4308607,GARIBALDI,RS
1709302,GUARAI,TO
4212908,PINHALZINHO,SC
2208403,PIRIPIRI,PI
1716109,PARAISO DO TOCANTINS,TO
3304706,SANTO ANTONIO DE PADUA,RJ
4203907,CAPINZAL,SC
4320107,SARANDI,RS
3538006,PINDAMONHANGABA,SP
3100203,ABAETE,MG
3139607,MANTENA,MG
2112209,TIMON,MA
5003256,COSTA RICA,MS
5002951,CHAPADAO DO SUL,MS
4308904,GETULIO VARGAS,RS
5210208,IPORA,GO
4104501,CAPANEMA,PR
3140001,MARIANA,MG
5206206,CRISTALINA,GO
3538808,PIRAJU,SP
1506138,REDENCAO,PA
2803500,LAGARTO,SE
2612505,SANTA CRUZ DO CAPIBARIBE,PE
4303103,CACHOEIRINHA,RS
3127107,FRUTAL,MG
4115804,MEDIANEIRA,PR
5218508,QUIRINOPOLIS,GO
2926608,RIBEIRA DO POMBAL,BA
1702109,ARAGUAINA,TO
5103205,COLIDER,MT
4309605,HORIZONTINA,RS
3536505,PAULINIA,SP
2928109,SANTA MARIA DA VITORIA,BA
3509007,CAIEIRAS,SP
5208608,GOIANESIA,GO
3204559,SANTA MARIA DE JETIBA,ES
5105150,JUINA,MT
2610004,PALMARES,PE
3101102,AIMORES,MG
2602902,CABO DE SANTO AGOSTINHO,PE
2909802,CRUZ DAS ALMAS,BA
2900702,ALAGOINHAS,BA
2802908,ITABAIANA,SE
4101002,AMPERE,PR
3152105,PONTE NOVA,MG
4108601,GOIOERE,PR
1600600,SANTANA,AP
3145059,NOVA PORTEIRINHA,MG
3541505,PRESIDENTE VENCESLAU,SP
3157807,SANTA LUZIA,MG
1200203,CRUZEIRO DO SUL,AC
3510807,CASA BRANCA,SP
3302502,MAGE,RJ
4109708,IBAITI,PR
3545803,SANTA BARBARA D´OESTE,SP
3554508,TIETE,SP
3531407,MONTE APRAZIVEL,SP
2917508,JACOBINA,BA
2930105,SENHOR DO BONFIM,BA
2903904,BOM JESUS DA LAPA,BA
3200201,ALEGRE,ES
4207007,ICARA,SC
3157005,SALINAS,MG
5220603,SILVANIA,GO
5219001,SANCLERLANDIA,GO
3133105,ITANHANDU,MG
5210000,INHUMAS,GO
3518404,GUARATINGUETA,SP
5107107,SAO JOSE DOS QUATRO MARCOS,MT
5100300,ALTO ARAGUAIA,MT
3554003,TATUI,SP
3513405,CRUZEIRO,SP
2101400,BALSAS,MA
2503704,CAJAZEIRAS,PB
3522208,ITAPECERICA DA SERRA,SP
4120002,PORECATU,PR
2805703,PROPRIA,SE
2508901,MAMANGUAPE,PB
2613909,SERRA TALHADA,PE
3171808,VIRGINOPOLIS,MG
5217302,PIRENOPOLIS,GO
2408300,NOVA CRUZ,RN
5210406,ITABERAI,GO
1300607,BENJAMIN CONSTANT,AM
3168705,TIMOTEO,MG
2706307,PALMEIRA DO INDIOS,AL
4115705,MATINHOS,PR
4318002,SAO BORJA,RS
2610707,PAULISTA,PE
1502400,CASTANHAL,PA
5100250,ALTA FLORESTA,MT
4125605,SAO MATEUS DO SUL,PR
2601607,BELEM DE SAO FRANCISCO,PE
3113305,CARANGOLA,MG
5205406,CERES,GO
3552106,SOCORRO,SP
2103208,CHAPADINHA,MA
2512903,RIO TINTO,PB
3135209,JANUARIA,MG
3140902,MATIPO,MG
3300209,ARARUAMA,RJ
4315503,RESTINGA SECA,RS
3110905,CAMPANHA,MG
3202306,GUACUI,ES
3543303,RIBEIRAO PIRES,SP
4320909,TAPEJARA,RS
3523107,ITAQUAQUECETUBA,SP
1713205,MIRACEMA DO TOCANTINS,TO
3155504,RIO PARANAIBA,MG
4102000,ASSIS CHATEAUBRIAND,PR
1303403,PARINTINS,AM
2708600,SAO MIGUEL DO CAMPOS,AL
5005400,MARACAJU,MS
3155801,RIO POMBA,MG
4118006,PARAISO DO NORTE,PR
2509701,MONTEIRO,PB
3549409,SAO JOAQUIM DA BARRA,SP
2303709,CAUCAIA,CE
4213500,PORTO BELO,SC
3555109,TUPI PAULISTA,SP
5100201,AGUA BOA,MT
4103453,CAFELANDIA,PR
5218003,PORANGATU,GO
4113502,LOANDA,PR
2612208,SALGUEIRO,PE
2100055,ACAILANDIA,MA
2601102,ARARIPINA,PE
5204409,CAIAPONIA,GO
3105103,BAMBUI,MG
2201903,BOM JESUS,PI
5006200,NOVA ANDRADINA,MS
3108602,BRASILIA DE MINAS,MG
4105409,CHOPINZINHO,PR
2613701,SAO LOURENCO DA MATA,PE
4113304,LARANJEIRAS DO SUL,PR
3552403,SUMARE,SP
3557006,VOTORANTIM,SP
3300605,BOM JESUS DO ITABAPOANA,RJ
4106605,CRUZEIRO DO OESTE,PR
1500602,ALTAMIRA,PA
5002407,CAARAPO,MS
2304103,CRATEUS,CE
3171204,VESPASIANO,MG
3508603,CACHOEIRA PAULISTA,SP
3537602,PERUIBE,SP
1100155,OURO PRETO DO OESTE,RO
2312403,SAO GONCALO DO AMARANTE,CE
3540606,PORTO FELIZ,SP
4319000,SAO MARCOS,RS
2914703,ITABERABA,BA
5211206,ITAPURANGA,GO
3306008,TRES RIOS,RJ
4313391,NOVO CABRAIS,RS
4312401,MONTENEGRO,RS
2925303,PORTO SEGURO,BA
4319802,SAO VICENTE DO SUL,RS
2109908,SANTA INES,MA
2102325,BURITICUPU,MA
2807402,TOBIAS BARRETO,SE
3516309,FRANCISCO MORATO,SP
1100189,PIMENTA BUENO,RO
2107506,PACO DO LUMIAR,MA
2909208,CORONEL JOAO SA,BA
4317301,SANTA VITORIA DO PALMAR,RS
5106752,PONTES E LACERDA,MT
3103405,ARACUAI,MG
1702554,AUGUSTINOPOLIS,TO
2601201,ARCOVERDE,PE
1508100,TUCURUI,PA
3135100,JANAUBA,MG
2603454,CAMARAGIBE,PE
2708006,SANTANA DO IPANEMA,AL
2707701,RIO LARGO,AL
2501104,AREIA,PB
4304663,CAPAO DO LEAO,RS
2916401,ITAPETINGA,BA
5106653,PONTAL DO ARAGUAIA,MT
5101704,BARRA DO BUGRES,MT
2301901,BARBALHA,CE
5210109,IPAMERI,GO
2211209,URUCUI,PI
1301902,ITACOATIARA,AM
3111606,CAMPOS GERAIS,MG
1718204,PORTO NACIONAL,TO
4216701,SAO JOSE DO CEDRO,SC
3130606,INCONFIDENTES,MG
2601706,BELO JARDIM,PE
5003801,FATIMA DO SUL,MS
1100064,COLORADO DO OESTE,RO
3204609,SANTA TERESA,ES
2704708,MARECHAL DEODORO,AL
3105400,BARAO DE COCAIS,MG
2104800,GRAJAU,MA
3303609,PARACAMBI,RJ
1400472,RORAINOPOLIS,RR
3144300,NANUQUE,MG
2803609,LARANJEIRAS,SE
2706406,PAO DE ACUCAR,AL
2512101,POMBAL,PB
5215702,PALMEIRAS DE GOIAS,GO
1301704,HUMAITA,AM
1301209,COARI,AM
2709400,VICOSA,AL
3101706,ALMENARA,MG
4310603,ITAQUI,RS
4322400,URUGUAIANA,RS
4306601,DOM PEDRITO,RS
4320503,SERTAO,RS
2505105,CUITE,PB
2411205,SANTA CRUZ,RN
2311405,QUIXERAMOBIM,CE
3300308,BARRA DO PIRAI,RJ
3126000,FLORESTAL,MG
4209409,LAGUNA,SC
2307650,MARACANAU,CE
1502301,CAPITAO POCO,PA
1505502,PARAGOMINAS,PA
5221809,URUTAI,GO
3145901,OURO BRANCO,MG
5107800,SANTO ANTONIO DO LEVERGER,MT
4317608,SANTO ANTONIO DA PATRULHA,RS
2407104,MACAIBA,RN
3544301,ROSEIRA,SP
1505536,PARAUAPEBAS,PA
4317806,SANTO AUGUSTO,RS
2103505,COLINAS,MA
2512309,PRINCESA ISABEL,PB
1200708,XAPURI,AC
4307807,ESTRELA,RS
2906006,CAMPO FORMOSO,BA
3304805,SAO FIDELIS,RJ
4215653,SANTA ROSA DO SUL,SC
4201307,ARAQUARI,SC
4318804,SAO LOURENCO DO SUL,RS
2516300,SUME,PB
1702208,ARAGUATINS,TO
1500107,ABAETETUBA,PA
5003306,COXIM,MS
2927903,SANTA INES,BA
3527801,LUPERCIO,SP
3144102,MUZAMBINHO,MG
3141009,MATO VERDE,MG
5102678,CAMPO VERDE,MT
4210035,LUZERNA,SC
3302007,ITAGUAI,RJ
2307601,LIMOEIRO DO NORTE,CE
2103307,CODO,MA
3118007,CONGONHAS,MG
3162807,SAO JOAO EVANGELISTA,MG
2702405,DELMIRO GOUVEIA,AL
2610905,PESQUEIRA,PE
1502707,CONCEICAO DO ARAGUAIA,PA
5103353,CONFRESA,MT
2311603,REDENCAO,CE
1501709,BRAGANCA,PA
3104502,ARINOS,MG
2313401,TIANGUA,CE
4311205,JULIO DE CASTILHOS,RS
2501005,ARARUNA,PB
1502103,CAMETA,PA
2910701,EUCLIDES DA CUNHA,BA
1502202,CAPANEMA,PA
4218202,TIMBO,SC
2400802,ANGICOS,RN
5207402,EDEIA,GO
2105401,ITAPECURU MIRIM,MA
2108603,PINHEIRO,MA
2305506,IGUATU,CE
2908408,CONCEICAO DO COITE,BA
4310009,IBIRUBA,RS
1600279,LARANJAL DO JARI,AP
2306405,ITAPIPOCA,CE
2313302,TAUA,CE
3151206,PIRAPORA,MG
2609501,NAZARE DA MATA,PE
1501808,BREVES,PA
2606200,GOIANA,PE
1721208,TOCANTINOPOLIS,TO
1702406,ARRAIAS,TO
2210607,SAO RAIMUNDO NONATO,PI
2202208,CAMPO MAIOR,PI
5204904,CAMPOS BELOS,GO
5218300,POSSE,GO
2600104,AFOGADOS DA INGAZEIRA,PE
5220207,SAO MIGUEL DO ARAGUAIA,GO
2207009,OEIRAS,PI
5004700,IVINHEMA,MS
5005681,MUNDO NOVO,MS
3129806,IBIRITE,MG
3162906,SAO JOAO NEPOMUCENO,MG
5206404,CRIXAS,GO
1304203,TEFE,AM
1304062,TABATINGA,AM
5213087,MINACU,GO
3161106,SAO FRANCISCO,MG
4318200,SAO FRANCISCO DE PAULA,RS
5000609,AMAMBAI,MS
5105101,JUARA,MT
2504306,CATOLE DO ROCHA,PB
2929909,SEABRA,BA
2913903,IPIAU,BA
2905206,CAETITE,BA
2904605,BRUMADO,BA
2303808,CEDRO,CE
2614105,SERTANIA,PE
5005004,JARDIM,MS
3124302,ESPINOSA,MG
1507904,SOURE,PA
2901007,AMARGOSA,BA
3526001,JUNQUEIROPOLIS,SP
4310330,IMBE,RS
4311007,JAGUARAO,RS
2114007,ZE DOCA,MA
2709301,UNIAO DO PALMARES,AL
5102637,CAMPO NOVO DO PARECIS,MT
5200258,AGUAS LINDAS DE GOIAS,GO
3528502,MAIRIPORA,SP
3512308,CONCHAS,SP
4310801,IVOTI,RS
3137809,LAMBARI,MG
